ED,Median earned income per commuter travelling less than 30 minutes (Euro) by Electoral Division and Year,Median earned income per commuter travelling greater than 30 minutes,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",Proportion of households working age social welfare was majority of household income (%) by Electoral Division and Year
"127 Aillemore, Co. Mayo",19846.00,30782.00,14.20,8.60,6.00,13.90,9.80,30.60,16.90,14.70
"128 Ballycroy North, Co. Mayo",12460.00,33179.00,15.50,11.30,8.60,5.50,15.60,30.00,13.60,24.30
"129 Ballycroy South, Co. Mayo",17844.00,39321.00,15.60,11.80,11.80,2.00,15.20,29.10,14.50,19.80
"131 Clare Island, Co. Mayo",20608.00,NA,14.60,2.30,19.40,NA,14.60,23.90,25.20,9.60
"132 Clogher, Co. Mayo",29554.00,49283.00,3.90,5.70,8.10,10.20,21.80,25.80,24.60,13.60
"133 An Corrán, Co. Mayo",17449.00,40494.00,6.00,9.70,7.90,10.90,9.70,33.10,22.60,13.70
"134 Croaghpatrick, Co. Mayo",27857.00,44393.00,5.20,6.80,6.00,12.30,16.30,33.80,19.60,12.10
"135 Derryloughan, Co. Mayo",29675.00,38557.00,5.40,6.80,4.70,8.00,18.70,38.30,18.20,9.10
"136 Dumha Éige, Co. Mayo",21198.00,34676.00,1.50,6.40,8.30,7.50,10.00,42.90,23.50,22.40
"137 Drummin, Co. Mayo",NA,NA,15.40,12.40,10.30,4.40,22.10,17.60,17.80,18.60
"138 Emlagh, Co. Mayo",22069.00,44071.00,9.30,8.90,12.10,13.40,19.40,24.40,12.60,18.90
"139 Erriff, Co. Mayo",NA,NA,14.70,3.50,2.40,12.30,23.70,14.40,29.00,7.90
"140 Glenhest, Co. Mayo",27696.00,20139.00,9.80,7.60,11.10,5.70,21.90,19.10,24.90,16.90
"141 Islandeady, Co. Mayo",32529.00,33326.00,4.40,6.90,10.00,4.30,16.80,39.60,18.00,8.30
"142 Kilgeever, Co. Mayo",NA,NA,6.70,12.40,12.20,2.30,20.40,27.40,18.70,7.30
"143 Kilmaclasser, Co. Mayo",25848.00,35272.00,4.00,9.70,8.80,7.90,23.00,28.90,17.70,11.70
"144 Kilmeena (Part Urban), Co. Mayo",32735.00,43110.00,3.70,5.70,7.60,12.10,22.20,29.90,18.80,9.10
"145 Kilsallagh, Co. Mayo",25765.00,52921.00,5.80,4.30,10.20,8.10,18.10,39.00,14.50,16.90
"146 Knappagh, Co. Mayo",27513.00,42684.00,5.20,7.00,6.70,15.30,20.50,25.00,20.40,17.80
"147 Louisburgh, Co. Mayo",25072.00,38495.00,5.90,6.10,6.20,12.30,21.90,29.80,17.90,18.00
"148 Newport East, Co. Mayo",28201.00,32318.00,5.00,7.70,8.20,7.50,19.90,28.10,23.60,17.20
"149 Newport West, Co. Mayo",21509.00,39199.00,9.10,8.80,7.40,5.60,15.70,31.60,21.80,18.10
999 Owennadornaun / Bundorragha,22215.00,31655.00,17.70,1.40,8.50,16.20,22.90,19.50,13.70,11.10
"151 Slievemahanagh, Co. Mayo",26475.00,51380.00,9.00,8.30,7.40,6.10,27.70,21.40,20.20,11.30
"152 Slievemore, Co. Mayo",18127.00,33419.00,5.60,8.20,11.20,9.30,7.30,37.40,21.00,19.20
"153 Srahmore, Co. Mayo",NA,NA,14.80,12.30,10.90,11.10,15.30,23.30,12.40,13.00
"154 Westport Rural, Co. Mayo",33200.00,55232.00,1.80,5.00,9.30,12.80,18.70,29.20,23.20,7.80
"001 Athlone West Rural, Co. Roscommon",27653.00,40937.00,0.90,2.90,9.70,13.40,15.00,31.10,26.90,14.60
"002 Ballydangan, Co. Roscommon",32147.00,42340.00,6.40,6.60,9.40,8.90,17.60,32.80,18.30,5.00
"003 Ballynamona, Co. Roscommon",33260.00,35859.00,5.60,5.10,8.50,9.30,13.50,35.00,23.00,10.70
"004 Caltragh, Co. Roscommon",35696.00,33444.00,12.50,8.60,9.30,5.40,16.50,35.60,12.10,8.30
"005 Carnagh, Co. Roscommon",31847.00,43255.00,4.20,4.60,11.00,8.10,9.70,41.70,20.70,8.10
"006 Carrowreagh, Co. Roscommon",29173.00,45776.00,10.70,7.00,10.90,6.30,12.00,40.80,12.20,8.00
"007 Castlesampson, Co. Roscommon",30624.00,36910.00,9.80,5.40,9.10,14.30,13.20,30.90,17.20,5.90
"008 Cloonburren, Co. Roscommon",30970.00,37062.00,7.80,5.90,11.60,10.90,25.80,24.10,13.90,8.70
"009 Cloonown, Co. Roscommon",30741.00,44021.00,5.30,6.50,8.40,12.30,18.70,26.00,22.80,5.90
"010 Crannagh, Co. Roscommon",35231.00,51404.00,3.00,3.20,8.30,19.10,11.80,32.30,22.40,6.50
"011 Creagh, Co. Roscommon",32780.00,35420.00,4.70,5.80,9.10,8.00,14.50,38.30,19.40,8.30
"012 Culliagh, Co. Roscommon",30775.00,35369.00,10.00,6.90,11.10,4.70,20.00,29.00,18.40,5.50
"013 Drumlosh, Co. Roscommon",27169.00,53686.00,7.20,5.30,7.60,8.20,18.00,30.40,23.40,5.00
"014 Dysart, Co. Roscommon",29663.00,31938.00,10.70,10.60,7.10,2.50,22.20,27.30,19.60,12.10
"015 Kilcar, Co. Roscommon",31032.00,39837.00,8.80,3.00,9.00,12.30,11.50,35.80,19.60,8.70
"016 Kiltoom, Co. Roscommon",35042.00,52536.00,1.90,3.00,12.90,12.30,12.20,37.00,20.60,6.30
"017 Lecarrow, Co. Roscommon",32922.00,49035.00,6.90,4.50,11.40,7.70,11.10,41.00,17.50,6.20
"018 Moore, Co. Roscommon",31482.00,41885.00,10.10,4.80,11.10,13.90,23.40,23.50,13.10,4.60
"019 Rockhill, Co. Roscommon",31088.00,60000.00,11.70,4.60,9.80,5.80,14.00,38.70,15.30,3.60
"020 Taghboy, Co. Roscommon",24649.00,40899.00,8.30,8.60,12.40,11.60,11.60,26.30,21.20,26.70
"021 Taghmaconnell, Co. Roscommon",39072.00,32980.00,10.00,9.90,9.20,7.40,7.30,40.70,15.50,12.10
"022 Thomastown, Co. Roscommon",31320.00,43520.00,4.70,3.50,11.60,15.30,12.90,31.00,21.00,5.30
"023 Turrock, Co. Roscommon",28878.00,41838.00,12.30,2.70,14.70,8.50,8.90,36.10,16.80,9.60
"024 Aghafin, Co. Roscommon",NA,NA,12.10,9.40,12.30,3.20,21.30,29.00,12.70,22.20
"026 Aughrim East, Co. Roscommon",27361.00,32535.00,11.70,10.20,11.20,9.10,9.00,34.40,14.30,6.80
"027 Aughrim West, Co. Roscommon",NA,NA,18.40,7.10,11.40,11.90,10.90,23.60,16.80,9.40
"028 Ballyfarnan, Co. Roscommon",25896.00,28635.00,10.50,1.10,11.40,12.30,14.30,29.90,20.50,24.00
"029 Ballyfermoyle, Co. Roscommon",19864.00,34238.00,11.40,8.80,14.70,2.30,6.90,34.10,21.70,17.70
"030 Boyle Rural, Co. Roscommon",27363.00,42035.00,2.20,3.80,11.60,11.10,10.80,43.00,17.60,15.20
"031 Boyle Urban, Co. Roscommon",23342.00,38452.00,1.40,4.40,9.10,8.60,14.60,41.20,20.70,29.80
"032 Breedoge, Co. Roscommon",25436.00,40030.00,12.30,10.30,9.00,7.30,13.20,32.30,15.70,10.80
"033 Cloonteen, Co. Roscommon",30258.00,38698.00,8.00,7.00,13.20,11.90,13.60,35.70,10.50,8.70
"034 Creeve, Co. Roscommon",NA,NA,17.40,1.10,11.70,5.30,11.50,40.70,12.40,17.00
"035 Croghan, Co. Roscommon",31568.00,33789.00,10.10,1.60,12.20,12.90,12.50,34.50,16.20,5.10
"036 Crossna, Co. Roscommon",30074.00,35898.00,8.90,12.30,11.50,4.90,14.30,35.70,12.20,21.60
"037 Danesfort, Co. Roscommon",29640.00,42379.00,3.60,4.40,8.60,9.50,13.10,41.80,19.00,12.40
"038 Estersnow, Co. Roscommon",NA,NA,3.80,1.50,17.80,10.80,3.10,47.20,15.80,5.60
"039 Keadew, Co. Roscommon",24606.00,47286.00,8.40,9.10,8.60,10.60,21.70,26.30,15.30,23.90
"040 Kilbryan, Co. Roscommon",24458.00,36753.00,9.40,6.10,11.30,8.30,14.30,37.30,13.20,9.40
"041 Kilcolagh, Co. Roscommon",NA,NA,0.80,1.30,14.60,8.10,22.50,27.30,25.40,21.40
"042 Killukin, Co. Roscommon",27496.00,58473.00,3.20,2.10,9.70,9.50,10.10,41.60,23.90,5.60
"043 Killummod, Co. Roscommon",NA,NA,10.70,10.80,17.20,10.20,2.50,36.20,12.50,2.60
"044 Kilmacumsy, Co. Roscommon",30545.00,43999.00,6.00,2.40,13.80,11.80,14.20,39.30,12.50,10.20
"045 Kilmore, Co. Roscommon",27779.00,46136.00,13.00,9.10,8.50,10.50,15.30,32.40,11.20,9.10
999 Lisgarve / Mantua,NA,NA,19.90,2.00,12.80,11.00,2.50,30.40,21.40,20.20
999 Lough Allen / Altagowlan,26760.00,27448.00,6.10,7.60,8.60,9.30,29.20,26.20,13.00,22.90
"049 Oakport, Co. Roscommon",25668.00,39333.00,5.80,4.10,15.90,11.50,12.60,33.70,16.40,10.70
"050 Rockingham, Co. Roscommon",25514.00,36806.00,14.90,5.30,8.80,11.40,14.40,29.60,15.50,11.40
"051 Rushfield, Co. Roscommon",25601.00,40593.00,9.00,5.50,10.50,11.10,14.40,34.30,15.30,9.90
"052 Tivannagh, Co. Roscommon",25337.00,48398.00,10.40,6.00,6.90,9.40,14.00,36.50,16.90,12.90
"053 Tumna North, Co. Roscommon",NA,NA,8.40,10.50,11.50,10.80,NA,31.40,27.30,15.90
"054 Tumna South, Co. Roscommon",28014.00,44940.00,9.20,0.70,9.20,15.20,9.60,36.80,19.30,7.80
"055 Artagh North, Co. Roscommon",22456.00,45076.00,4.40,13.40,8.20,7.30,15.80,28.20,22.70,18.00
"056 Artagh South, Co. Roscommon",22555.00,40170.00,8.40,15.50,12.10,7.80,15.50,29.20,11.60,16.90
"057 Ballaghaderreen, Co. Roscommon",21361.00,33781.00,2.40,10.20,9.50,7.80,18.00,32.00,20.10,24.80
"058 Ballinlough, Co. Roscommon",25073.00,33024.00,6.50,7.70,10.10,8.70,17.40,31.90,17.70,16.70
"059 Ballintober, Co. Roscommon",30844.00,30778.00,10.30,6.50,7.10,5.20,7.70,42.10,21.10,13.80
"060 Baslick, Co. Roscommon",NA,NA,11.20,15.10,14.60,1.10,17.50,30.50,10.00,17.00
"061 Bellanagare, Co. Roscommon",24298.00,31599.00,8.40,11.70,7.20,8.20,16.20,35.20,13.10,22.60
"062 Buckill, Co. Roscommon",30619.00,29978.00,8.70,8.10,11.00,6.00,15.80,31.10,19.30,14.70
"063 Carrowduff, Co. Roscommon",23708.00,41358.00,11.80,11.20,10.90,8.80,9.40,32.10,15.80,21.80
"064 Castleplunket, Co. Roscommon",23195.00,36432.00,10.80,11.90,7.60,7.20,11.30,35.80,15.40,18.40
"065 Castlereagh, Co. Roscommon",24317.00,27929.00,3.70,4.00,7.10,6.30,13.50,42.40,23.00,21.70
"066 Castleteheen, Co. Roscommon",27707.00,23558.00,11.30,13.90,9.40,8.90,9.50,35.20,11.90,12.30
"067 Cloonfower, Co. Roscommon",25622.00,30382.00,8.50,8.20,9.60,5.40,17.90,36.80,13.70,15.00
"068 Coolougher, Co. Roscommon",26389.00,36292.00,7.30,10.60,8.40,6.00,10.40,36.10,21.30,11.60
"069 Edmondstown, Co. Roscommon",17827.00,32642.00,6.80,13.40,14.60,7.00,15.50,25.80,16.90,18.80
"070 Fairymount, Co. Roscommon",27436.00,41755.00,8.70,6.90,9.00,9.00,16.10,31.20,19.00,14.80
"071 Frenchpark, Co. Roscommon",22813.00,31666.00,8.20,9.50,11.30,7.70,12.80,30.00,20.40,21.60
"072 Kiltullagh, Co. Roscommon",23295.00,36248.00,6.00,7.60,11.00,6.60,18.60,32.80,17.30,19.60
"073 Loughglinn, Co. Roscommon",25593.00,30127.00,5.70,12.30,9.20,8.60,14.40,32.70,17.10,22.40
"074 Annaghmore, Co. Roscommon",26070.00,34064.00,12.80,9.80,14.10,3.90,10.30,34.60,14.60,12.70
"075 Athleague East, Co. Roscommon",27655.00,43480.00,8.30,7.50,11.40,8.50,15.80,34.80,13.80,5.50
"076 Athleague West, Co. Roscommon",25039.00,41545.00,10.90,5.50,7.50,6.90,17.00,32.10,20.10,15.60
"077 Ballygarden, Co. Roscommon",33413.00,33172.00,8.40,11.10,10.90,6.30,18.60,24.90,19.80,11.40
"078 Bumlin, Co. Roscommon",26797.00,38067.00,6.60,6.40,8.90,12.30,14.80,29.40,21.60,13.70
"079 Cams, Co. Roscommon",30335.00,42835.00,6.60,9.10,11.30,5.90,11.70,40.60,14.90,4.30
"080 Cloonfinlough, Co. Roscommon",NA,NA,10.30,10.30,11.40,3.20,14.90,33.80,16.10,11.60
"081 Cloontuskert, Co. Roscommon",27815.00,33054.00,4.20,3.30,7.80,5.80,20.50,42.20,16.30,16.10
"082 Cloonygormican, Co. Roscommon",26324.00,46701.00,12.40,8.60,10.30,9.80,9.50,32.80,16.50,8.90
"083 Cloonyquin, Co. Roscommon",28080.00,27124.00,12.40,7.00,13.50,11.50,11.00,30.80,13.80,12.10
"084 Creeve, Co. Roscommon",25000.00,46232.00,13.30,0.80,8.40,8.10,14.60,35.10,19.80,12.30
"085 Cregga, Co. Roscommon",NA,NA,8.40,3.00,9.40,12.00,11.30,35.10,20.80,5.60
"086 Drumdaff, Co. Roscommon",31957.00,39916.00,5.70,6.70,11.10,6.90,11.40,41.30,17.00,10.80
"087 Dunamon, Co. Roscommon",30472.00,35657.00,6.20,7.70,9.80,10.30,10.60,39.20,16.20,9.50
"088 Elia, Co. Roscommon",NA,NA,11.10,1.60,11.40,9.90,18.90,26.20,20.90,8.00
"089 Elphin, Co. Roscommon",23351.00,30393.00,6.70,7.40,13.30,6.10,7.80,42.80,15.90,23.10
"090 Fuerty, Co. Roscommon",30760.00,45458.00,6.10,6.00,10.70,8.30,10.00,41.60,17.30,7.10
"091 Kilbride North, Co. Roscommon",25896.00,36251.00,8.40,6.70,9.20,7.50,8.40,38.70,21.20,12.50
"092 Kilbride South, Co. Roscommon",28221.00,33527.00,9.20,7.00,11.60,9.00,4.30,39.00,19.90,9.40
"093 Kilgefin, Co. Roscommon",26889.00,36033.00,7.80,9.60,8.30,9.40,7.90,38.40,18.70,12.70
"094 Kilglass North, Co. Roscommon",26847.00,33625.00,6.70,8.30,13.20,9.90,15.10,24.90,21.90,18.80
"095 Kilglass South, Co. Roscommon",29636.00,47845.00,7.10,8.30,10.30,5.70,20.30,34.10,14.00,13.90
"096 Killavackan, Co. Roscommon",24316.00,23094.00,11.20,7.10,12.40,6.20,18.90,29.00,15.20,9.00
"097 Killukin, Co. Roscommon",24768.00,32169.00,13.50,11.90,11.00,3.30,5.50,34.40,20.50,1.40
"098 Kilteevan, Co. Roscommon",30476.00,44351.00,5.10,6.70,14.20,6.40,10.00,38.90,18.80,6.80
"099 Lackan, Co. Roscommon",30290.00,56141.00,11.60,7.20,15.40,5.20,10.50,37.30,12.80,6.20
"100 Lismaha, Co. Roscommon",29108.00,37421.00,12.40,5.40,9.80,9.50,8.70,38.00,16.20,10.70
"101 Lissonuffy, Co. Roscommon",NA,NA,12.30,6.40,8.30,3.00,23.00,28.90,18.00,6.50
"102 Mote, Co. Roscommon",31354.00,37691.00,5.90,4.30,7.80,9.30,9.70,39.20,23.70,8.50
"103 Ogulla, Co. Roscommon",28217.00,31505.00,9.90,8.90,13.20,7.60,11.10,34.70,14.60,20.50
"104 Roosky, Co. Roscommon",24424.00,37077.00,5.40,7.50,13.60,5.00,21.30,28.70,18.50,18.00
"105 Roscommon Rural, Co. Roscommon",27825.00,40302.00,2.50,4.40,9.70,7.80,9.90,46.90,18.70,12.90
"106 Roscommon Urban, Co. Roscommon",24259.00,27080.00,1.90,3.10,11.80,7.70,16.00,32.10,27.40,22.30
"107 Rosmoylan, Co. Roscommon",25112.00,34532.00,12.90,7.60,18.60,10.20,12.80,21.00,16.80,14.80
"108 Rossmore, Co. Roscommon",NA,NA,14.10,10.00,15.20,3.80,10.30,28.20,18.30,10.70
"109 Scregg, Co. Roscommon",35901.00,37264.00,6.50,6.10,8.90,9.40,6.50,42.10,20.40,11.20
"110 Strokestown, Co. Roscommon",25030.00,39968.00,5.30,6.20,8.30,8.70,10.20,36.80,24.50,23.70
"111 Termonbarry, Co. Roscommon",31719.00,51182.00,3.40,7.10,9.00,12.30,13.90,38.80,15.60,15.80
"112 Tulsk, Co. Roscommon",26000.00,33653.00,11.70,10.10,7.10,10.70,12.20,36.80,11.30,18.40
"001 Sligo East, Co. Sligo",25444.00,34501.00,0.50,2.80,10.60,6.20,11.80,45.00,23.00,23.70
"002 Sligo North, Co. Sligo",22140.00,30352.00,1.10,2.90,8.90,6.90,9.60,45.90,24.80,28.20
"003 Sligo West, Co. Sligo",27674.00,33446.00,0.60,2.10,9.60,8.50,13.30,45.30,20.70,17.50
"004 Aghanagh, Co. Sligo",35100.00,44310.00,3.70,7.00,8.40,11.90,12.80,42.60,13.60,13.00
"005 Ballynashee, Co. Sligo",34099.00,39999.00,6.70,5.40,8.80,4.60,13.90,43.40,17.30,18.40
"006 Coolavin, Co. Sligo",20000.00,32159.00,6.70,14.20,5.40,8.60,14.50,30.30,20.30,17.90
"007 Cuilmore, Co. Sligo",23284.00,39708.00,7.40,6.60,6.40,7.50,19.00,33.30,19.70,13.60
"008 Drumrat, Co. Sligo",32807.00,34105.00,6.30,6.00,9.30,7.50,21.90,34.50,14.40,16.80
"009 Kilfree, Co. Sligo",22459.00,36959.00,4.80,9.10,8.80,6.90,15.40,36.10,18.90,21.40
"010 Killadoon, Co. Sligo",25661.00,41955.00,8.00,3.30,16.90,8.60,15.80,30.10,17.30,11.10
"011 Killaraght, Co. Sligo",18066.00,37085.00,9.30,15.20,11.50,6.00,12.20,28.50,17.20,13.70
"012 Kilmactranny, Co. Sligo",33406.00,36198.00,9.20,7.80,6.90,9.70,10.40,41.00,15.10,9.80
"013 Kilshalvy, Co. Sligo",26770.00,38390.00,8.40,7.00,8.90,8.20,20.00,34.10,13.40,13.60
"014 Shancough, Co. Sligo",NA,NA,11.40,2.40,13.40,10.70,17.40,34.20,10.50,15.20
"015 Templevanny, Co. Sligo",28701.00,30373.00,10.60,7.00,10.10,12.40,14.90,29.90,15.00,8.30
"016 Toomour, Co. Sligo",22097.00,35495.00,9.70,12.40,7.60,9.90,7.20,34.00,19.30,20.50
"017 Aughris, Co. Sligo",27748.00,28447.00,10.40,12.40,10.30,3.50,22.90,27.00,13.50,12.50
"018 Buncrowey, Co. Sligo",22487.00,29704.00,14.60,7.50,11.60,2.60,7.40,32.50,23.80,25.20
"019 Castleconor East, Co. Sligo",NA,NA,10.20,7.20,10.80,7.30,21.80,23.30,19.40,11.90
"020 Castleconor West, Co. Sligo",30423.00,37959.00,7.30,7.40,7.80,9.20,19.80,32.00,16.50,7.40
"021 Dromard East, Co. Sligo",32057.00,44513.00,4.60,7.10,14.00,8.40,14.50,35.40,15.90,14.50
"022 Dromard West, Co. Sligo",31465.00,32140.00,14.00,3.70,10.10,7.30,16.60,33.70,14.60,9.20
"023 Dromore, Co. Sligo",21962.00,38510.00,5.20,6.90,10.40,7.70,18.80,31.10,19.80,20.00
"024 Easky East, Co. Sligo",21461.00,34002.00,7.10,10.40,9.70,6.20,16.70,34.40,15.50,25.00
"025 Easky West, Co. Sligo",24092.00,34770.00,9.50,6.30,7.70,6.40,14.40,35.20,20.50,15.10
"026 Kilglass, Co. Sligo",23893.00,35965.00,4.10,9.80,8.10,8.20,17.80,31.70,20.20,20.70
"028 Rathmacurkey, Co. Sligo",24236.00,36511.00,7.20,9.00,8.30,6.00,18.70,31.40,19.50,20.50
"029 Skreen, Co. Sligo",NA,NA,11.70,11.10,8.30,8.00,15.50,29.80,15.60,13.60
"030 Templeboy North, Co. Sligo",24326.00,30070.00,14.00,6.80,8.60,14.10,9.80,30.00,16.70,14.80
999 Templeboy South / Mullagheruse,18519.00,29781.00,20.90,7.50,8.20,7.50,13.70,25.30,16.90,12.70
"032 Toberpatrick East, Co. Sligo",28800.00,33250.00,10.30,0.80,12.50,7.60,16.30,30.30,22.30,6.30
"033 Toberpatrick West, Co. Sligo",33401.00,34795.00,10.90,5.50,9.00,9.10,14.60,37.40,13.60,6.60
"034 Ballintogher East, Co. Sligo",31902.00,42966.00,3.90,4.60,7.70,9.60,15.60,44.00,14.60,9.80
"035 Ballintogher West, Co. Sligo",30789.00,46442.00,5.80,9.10,9.40,7.40,13.70,35.80,18.80,8.00
"036 Ballymote, Co. Sligo",28463.00,37262.00,2.30,4.10,9.20,8.30,15.50,40.10,20.50,20.50
"037 Ballynakill, Co. Sligo",29326.00,40276.00,5.60,6.00,7.10,7.60,7.50,49.50,16.70,10.60
"038 Ballysadare East, Co. Sligo",31955.00,36560.00,3.10,5.60,8.90,7.40,9.80,47.80,17.30,11.70
"039 Ballysadare West, Co. Sligo",31567.00,45184.00,5.50,5.50,14.20,7.80,13.60,35.40,18.00,6.60
"040 Bricklieve, Co. Sligo",NA,NA,10.30,3.70,8.60,2.30,24.90,31.20,19.10,9.30
"041 Calry, Co. Sligo",34787.00,47129.00,2.00,4.70,7.30,7.30,11.10,52.20,15.30,4.40
"042 Carney, Co. Sligo",33065.00,38795.00,5.00,2.60,10.80,6.00,10.10,46.80,18.70,10.40
"043 Carrickbanagher, Co. Sligo",32680.00,39303.00,5.10,4.80,8.30,9.40,16.10,36.30,19.90,10.50
"044 Cliffony North, Co. Sligo",31818.00,34912.00,4.00,6.90,10.40,5.20,12.60,38.30,22.70,13.70
"045 Cliffony South, Co. Sligo",30738.00,33163.00,5.90,4.80,8.30,9.90,13.50,40.20,17.40,10.40
"046 Collooney, Co. Sligo",30056.00,47710.00,1.50,3.70,9.90,8.30,13.90,40.40,22.30,16.70
"047 Drumcliff East, Co. Sligo",40140.00,36039.00,4.20,4.90,10.50,6.30,9.80,50.40,13.90,5.10
"048 Drumcliff West, Co. Sligo",39672.00,50470.00,1.30,2.00,10.20,13.60,10.10,46.90,15.80,5.60
"049 Drumcolumb, Co. Sligo",NA,NA,7.40,5.90,7.60,7.80,9.00,39.40,23.00,16.00
"050 Drumfin, Co. Sligo",NA,NA,7.90,2.20,7.40,7.60,17.30,40.20,17.40,12.90
"051 Glencar, Co. Sligo",NA,NA,12.20,0.40,9.50,10.50,18.10,34.20,15.20,6.30
"052 Kilmacowen, Co. Sligo",34166.00,51652.00,1.70,3.00,9.90,8.60,10.80,49.40,16.70,8.20
"053 Knockaree, Co. Sligo",33954.00,53444.00,1.10,1.70,9.80,10.20,11.40,50.90,14.90,8.40
"054 Lakeview, Co. Sligo",31244.00,49127.00,6.00,3.90,7.10,8.70,13.90,45.10,15.40,9.70
"055 Lisconny, Co. Sligo",NA,NA,6.80,7.60,9.80,7.40,7.00,37.50,23.90,12.30
"056 Lissadill East, Co. Sligo",35034.00,36531.00,2.90,4.40,8.90,7.50,13.50,47.60,15.20,8.20
"057 Lissadill North, Co. Sligo",32769.00,37990.00,3.50,4.70,7.00,6.50,9.90,51.50,16.90,11.20
"058 Lissadill West, Co. Sligo",29197.00,15820.00,7.90,5.90,10.90,9.30,10.90,39.90,15.20,14.20
"059 Riverstown, Co. Sligo",31241.00,32115.00,4.80,6.00,10.40,11.00,11.10,38.10,18.60,15.70
"060 Rossinver East, Co. Sligo",NA,NA,11.20,7.50,7.00,15.20,10.90,31.50,16.70,10.10
"061 Rossinver West, Co. Sligo",NA,NA,8.60,7.30,6.80,8.90,13.20,37.60,17.50,5.40
"062 Achonry East, Co. Sligo",20002.00,36004.00,7.70,8.40,8.90,7.20,12.30,36.40,19.10,15.50
"063 Achonry West, Co. Sligo",26788.00,38015.00,4.00,12.50,8.80,6.10,11.10,42.10,15.50,14.60
"064 Aclare, Co. Sligo",22112.00,37768.00,9.60,11.30,12.70,7.80,15.50,33.60,9.60,27.50
"065 Annagh, Co. Sligo",NA,NA,9.60,6.00,12.40,9.20,12.80,31.30,18.70,15.30
"066 Banada, Co. Sligo",26020.00,43164.00,6.20,13.20,7.20,8.80,9.90,38.40,16.30,19.50
999 Branchfield / Carrownaskeagh,NA,NA,12.30,9.30,7.90,1.50,20.50,30.40,18.10,12.30
"068 Breencorragh, Co. Sligo",NA,NA,16.70,0.60,12.60,12.00,10.80,30.30,17.00,20.50
"070 Cartron, Co. Sligo",31560.00,36328.00,11.80,7.90,7.80,9.90,11.50,34.00,17.00,17.50
"072 Cloonoghill, Co. Sligo",30430.00,28380.00,11.40,5.60,7.90,7.10,19.40,32.70,15.90,16.70
"073 Coolaney, Co. Sligo",31676.00,39079.00,2.00,4.80,10.00,8.00,15.60,40.50,19.20,15.10
"074 Glendarragh, Co. Sligo",19587.00,36554.00,10.50,4.90,9.50,2.30,16.20,40.70,15.90,13.90
"075 Kilmacteige, Co. Sligo",18916.00,29816.00,14.00,12.30,10.80,3.60,16.10,30.30,13.00,11.00
"076 Kilturra, Co. Sligo",27806.00,35378.00,11.80,8.20,7.70,9.50,18.40,33.50,11.00,9.30
"077 Leitrim, Co. Sligo",35594.00,38528.00,7.60,8.00,12.20,6.80,14.10,39.80,11.50,11.60
999 Loughill / Cloonacool,21869.00,41550.00,9.60,5.10,9.00,7.10,17.40,39.10,12.80,18.50
"079 Owenmore, Co. Sligo",NA,NA,3.00,0.40,5.10,NA,26.90,47.50,17.00,17.40
"080 Streamstown, Co. Sligo",34120.00,46066.00,8.20,5.80,8.30,3.30,28.60,29.70,16.20,8.00
"081 Temple, Co. Sligo",29274.00,30000.00,6.10,7.80,13.80,6.40,15.50,33.40,17.10,13.60
"082 Tobercurry, Co. Sligo",25000.00,34573.00,3.20,4.00,10.70,8.00,15.20,37.70,21.10,25.00
"001 Cavan Urban, Co. Cavan",21122.00,27077.00,3.60,5.20,9.60,5.70,21.50,33.10,21.20,35.70
"002 Bailieborough, Co. Cavan",25822.00,34003.00,3.90,8.20,12.00,7.20,24.30,24.20,20.20,19.00
"003 Carnagarve, Co. Cavan",26000.00,36443.00,8.70,12.20,10.80,13.50,15.80,20.00,19.00,7.60
"004 Crossbane, Co. Cavan",30271.00,34282.00,9.70,8.40,10.90,6.00,18.00,28.10,19.00,10.40
"005 Drumanespick, Co. Cavan",28833.00,37051.00,7.90,11.80,9.20,10.00,20.30,27.30,13.50,9.30
"006 Enniskeen, Co. Cavan",30387.00,37300.00,9.20,10.00,8.80,8.10,28.90,20.40,14.70,9.20
"007 Killinkere, Co. Cavan",32206.00,36338.00,11.60,8.60,7.50,9.20,15.00,30.20,17.80,6.20
"008 Kingscourt, Co. Cavan",25259.00,34425.00,2.90,7.70,11.30,6.20,28.90,20.70,22.30,15.60
"009 Lisagoan, Co. Cavan",28525.00,37186.00,10.90,11.00,11.70,2.70,28.80,17.50,17.40,6.10
"010 Mullagh, Co. Cavan",24311.00,36315.00,4.50,7.10,10.70,8.40,15.40,28.70,25.10,17.20
"011 Shercock, Co. Cavan",26227.00,33507.00,6.40,5.20,7.30,8.70,35.60,19.00,17.60,9.50
"012 Skeagh, Co. Cavan",30208.00,36836.00,11.20,9.20,7.20,8.40,25.40,24.00,14.60,6.90
"013 Taghart, Co. Cavan",26824.00,29136.00,9.20,9.30,8.50,5.20,31.50,18.20,18.10,11.10
"014 Termon, Co. Cavan",31461.00,43411.00,10.10,12.70,15.20,6.50,16.20,22.80,16.60,11.80
"015 Ballyconnell, Co. Cavan",24081.00,28244.00,4.60,6.40,9.60,6.90,25.30,21.10,26.20,19.00
